id,codigo,titulo,autores,volume,aluno
1,ABC123,Matematica Basica,Joao Silva,1,1
2,DEF456,Fisica Moderna,Maria Oliveira,1,2
3,GHI789,Quimica Organica,Paulo Souza,1,3
4,JKL012,Biologia Geral,Clara Santos,1,4
5,MNO345,Historia do Brasil,Luis Pereira,1,5
6,PQR678,Literatura Inglesa,Ana Costa,1,6
7,STU901,Geografia Fisica,Roberto Lima,1,11
8,XYZ234,Psicologia Infantil,Bruno Alves,1,15
9,LMN567,Sociologia Aplicada,Camila Rocha,1,18
10,OPQ890,Filosofia Contemporanea,Fernando Reis,1,20
11,ABC123,Matematica Basica,Joao Silva,1,1
12,DEF456,Fisica Moderna,Maria Oliveira,1,6
13,ABC123,Matematica Basica,Joao Silva,1,15
14,QRS345,Matematica Basica,Joao Silva,2,20
15,TUV678,Fisica Moderna,Maria Oliveira,2,8
16,JKL012,Biologia Geral,Clara Santos,1,1
17,MNO345,Historia do Brasil,Luis Pereira,1,12
18,PQR678,Literatura Inglesa,Ana Costa,1,11
19,XYZ234,Psicologia Infantil,Bruno Alves,1,17
20,UVW901,Historia do Brasil,Luis Pereira,2,16
